#{"t_start": 1776322726.8924334, "env_id": "None"}
r,l,t
-7453.342,1202,24268.627661
-9392.911,2160,24399.043345
-2208.1501,2098,24525.600784
-10214.641,2320,24667.061906
-2437.097,612,24704.296351
-4605.851,1892,24818.92805
-12239.682,2448,24967.549219
-1054.5935,2038,25090.732466
2751.214,2073,25215.680382
-6148.2886,1446,25304.033142
-7255.965,1486,25393.700058
-5335.227,2288,25532.975544
-7003.2593,1712,25661.549073
-2865.4968,1776,25769.715391
-5678.357,1479,25859.93297
-6097.257,1946,25977.753768
-3028.0288,653,26017.217232
-2920.9585,1189,26088.942194
-6328.2295,1248,26164.714686
-3663.1787,2226,26299.098379
-4730.432,818,26348.883637
-6540.774,2173,26480.652601
-8259.913,2228,26615.728087
-7077.5073,2221,26751.055818
-6380.2837,2389,26895.465931
-3572.595,1483,26985.089405
-14213.793,1957,27104.326224
-5762.7715,1226,27179.162452
-7400.377,951,27237.064715
-10856.123,2477,27386.662705
-11769.234,2282,27525.077878
3011.692,1905,27641.175162
-7630.3726,1079,27729.091231
-5438.589,1034,27791.563404
-10655.106,2262,27927.658599
-2127.846,1699,28029.948821
4646.1543,1976,28148.77886
-7229.866,2205,28281.991619
-6637.934,1805,28391.451984
-5714.786,2129,28519.801923
-4478.5767,1697,28623.065469
-10818.54,1746,28728.906387
-4830.202,960,28787.391674
-2344.1045,591,28823.422979
-13345.666,2383,28967.141537
-9703.475,1844,29079.041294
-5588.441,1484,29168.584676
-1896.1309,514,29199.634894
-7729.8423,1478,29289.095891
-8285.634,1448,29377.460286
-7994.425,1367,29460.442635
-2316.4524,554,29493.87809
-2567.495,555,29547.460935
-4265.5933,854,29599.216634
-6305.3794,2243,29734.543068
-10142.709,2207,29868.588752
4645.2607,2044,29993.03647
-6025.1255,947,30050.486441
56.65622,2189,30183.975687
-8831.897,2049,30308.377299
-6456.9077,1503,30399.335455
-7791.4634,1184,30471.517143
-415.52676,1920,30588.162221
-2012.5234,366,30610.308607
-3204.4104,511,30641.291928
-2617.7952,624,30679.403451
-1869.543,526,30711.512506
-6543.644,2125,30840.238903
5324.123,1943,30957.738306
-7066.4395,2035,31082.11391
-8079.793,2279,31221.521348
-12510.641,2421,31369.549226
-5748.4873,1657,31491.216669
-9904.849,1579,31587.013936
-11653.576,2430,31734.825023
-8804.348,2124,31864.416032
-12868.396,1907,31980.205376
758.48834,1999,32101.884389
-3288.2993,1706,32205.263991
-2769.6018,1976,32326.191906
-2546.9133,808,32375.285843
-12617.464,2058,32501.413035
-5131.719,1802,32610.995597
-4694.6567,1520,32704.053302
-11162.128,2109,32835.262888
-11218.551,1708,32941.089256
-11158.207,1580,33038.517206
-9380.926,2289,33180.686373
-5591.9165,1604,33279.385603
-4836.7637,1958,33400.217153
-4324.8257,2081,33527.93412
-4076.4026,1653,33629.394981
-7832.4517,2311,33797.022816
-4910.4287,1029,33860.771494
-6778.344,2172,33994.467307
-12670.474,2639,34157.668853
-3076.5369,652,34197.969766
-10391.684,1978,34318.8008
-5501.8804,1395,34404.81571
-14959.659,2330,34548.307037
-9121.384,1698,34652.0604
-16167.025,2762,34822.46558
-5201.4727,2061,34948.40365
-6015.7974,2095,35074.930641
-7720.263,1875,35188.579868
-183.63277,2121,35316.565414
-1871.6476,614,35354.081831
-4383.927,1140,35423.431764
-8063.543,2223,35557.819528
796.8318,1903,35673.217415
1756.3021,2091,35800.130406
-6932.543,1261,35876.793341
-6653.4863,2230,36035.276141
-3336.399,767,36081.665092
-7965.5903,2396,36226.409415
-9194.765,2363,36369.062839
-7303.6836,1947,36487.687148
-10835.903,2378,36631.93467
-8272.952,2143,36761.25963
-12202.336,1700,36864.938971
-3221.6814,1752,36970.637216
-5809.6035,1111,37037.698804
-5458.6157,998,37098.551811
-8405.066,2193,37232.339635
-4086.758,2028,37355.24162
-3363.142,2138,37484.770734
-3707.4717,1198,37556.954144
-5929.7837,2163,37688.012639
-9080.866,2236,37823.952987
-3578.1155,1150,37893.991112
-2718.5984,894,37948.342042
-2399.8477,950,38006.22679
-11768.317,2190,38161.807221
-14409.615,1911,38278.222732
-6370.855,2187,38411.096982
-12555.951,2383,38555.069852
-3524.3547,1183,38626.59337
-9800.814,1955,38745.708693
-12086.706,2188,38879.105837
-1901.2733,583,38914.305856
-7736.905,2324,39054.726987
-2568.382,543,39087.693402
-9311.798,1642,39186.724349
-2656.1309,732,39231.174043
-15681.604,2245,39367.945827
771.3231,1799,39476.892898
-17877.533,2600,39633.837196
1299.991,2431,39781.096919
-7067.3975,1889,39895.075092
-7415.2314,1669,39996.638187
-2813.2993,589,40032.498096
5743.461,1890,40146.412477
930.79346,1842,40280.787018
-12042.601,2284,40418.790672
-5667.683,704,40461.666694
-463.4155,2059,40585.905242
-6413.555,2281,40723.927311
-8032.764,2138,40854.079222
-175.90903,2127,40982.350799
5117.555,1986,41101.882245
-5921.6406,2189,41234.864694
-6647.685,2229,41369.166119
-12824.636,2309,41508.635449
-2857.17,1177,41579.622948
-13376.201,2376,41723.169746
-8821.604,1942,41840.943555
-18694.104,2441,41989.676416
-10319.333,2243,42125.777892
-9380.592,1967,42245.716744
-6895.983,1684,42348.279116
-10503.671,2283,42486.147337
-2636.6497,583,42521.6269
-5441.264,1473,42637.77065
-3425.5886,1338,42719.391753
-5497.9946,1051,42783.613638
-5964.1504,1590,42880.330085
-13927.067,2500,43032.091718
-12320.594,1773,43139.703567
-1608.2246,2097,43266.315961
-6193.791,1800,43375.439963
-6308.7217,1795,43484.008901
-7342.968,2310,43624.724154
-4155.815,758,43670.487665
-9844.247,1710,43773.557815
-5548.937,2279,43911.650131
2399.237,2005,44032.548263
-11916.191,2213,44167.57541
-5296.8394,1666,44268.197542
3031.4316,1951,44386.976809
-15125.17,1975,44507.455756
-9774.8545,2345,44649.591113
-11786.825,2325,44789.793198
3995.0906,2104,44940.602931
-6527.6274,1389,45025.131691
-11666.298,2165,45156.653873
-10446.979,2352,45298.876324
-5793.046,2257,45434.915584
-7138.0674,2194,45568.221617
-7782.959,1344,45650.015005
-11739.6875,2157,45780.429274
-8648.423,1061,45844.702675
-8136.413,1359,45927.310595
2715.7744,1989,46047.147088
-10465.297,1700,46149.738868
-7782.6675,1310,46229.749907
-4747.47,749,46275.076541
-9533.332,2421,46421.066701
-11780.412,2182,46553.785753
-6818.709,1343,46635.484312
-9162.641,2322,46776.144736
-273.3891,2115,46903.810802
-6379.7065,2234,47038.546767
-7975.761,1224,47137.450495
-5025.3525,1139,47206.545172
-1029.999,1910,47321.883371
6189.4565,2049,47445.49376
-8896.35,2314,47586.428617
-9634.741,1565,47680.912176
-8062.47,1939,47799.068153
-2383.184,523,47831.06325
-1500.6201,2256,47967.601876
-6267.0894,1931,48084.170656
-9615.433,1146,48153.489429
-6061.823,1274,48231.290031
-3599.571,2172,48363.470248
-4015.2698,2065,48488.484939
-8310.504,2250,48625.440269
-6534.7544,1030,48688.317728
-10719.906,1626,48786.936878
-6601.3213,1844,48898.998389
-3787.5486,1956,49018.261723
-13463.376,1828,49129.331351
-15470.964,2378,49295.3484
-12607.7,2420,49442.592876
-2853.407,1348,49523.94352
-4946.7476,1661,49625.015244
-5104.3804,1408,49710.75037
-2478.9253,979,49769.918532
-2542.8208,991,49829.659244
-1960.1526,949,49886.926649
-10043.773,1481,49977.093699
-3390.7424,864,50029.515939
-8173.807,2426,50177.094306
-1688.6417,567,50211.296005
-8597.542,2002,50333.238315
-15045.728,1989,50454.331047
-4850.608,2161,50584.696221
-4492.157,2280,50722.13023
-8346.454,1523,50814.957051
-3904.0034,1225,50888.836172
-1951.2169,1945,51006.884104
-8264.53,2066,51132.139833
-2580.215,452,51180.772038
-8476.575,2194,51313.021685
-2016.4038,567,51347.612804
-2536.7148,1087,51413.668032
-6947.485,2486,51565.195653
-9748.06,1408,51650.597309
-13969.555,2027,51773.005368
-15504.036,2435,51920.273748
-5741.9546,1857,52032.435788
-8909.386,1797,52141.91589
-12473.083,1827,52252.765071
-8089.431,2092,52379.126151
4478.0977,1959,52497.94306
-5182.3145,1804,52606.938524
-2373.4226,634,52645.213035
-13683.74,1948,52763.395975
-13390.671,1888,52878.686205
-6435.052,2398,53024.910847
3324.9402,1973,53144.179992
-6930.2515,1310,53224.06694
-929.45874,2027,53368.722579
-7340.8965,1120,53436.861304
-12130.035,2363,53580.700906
-12440.597,2357,53723.489658
-6890.567,2372,53866.496659
-9746.364,2447,54014.755331
-7523.499,2404,54161.204969
-7851.1436,1921,54277.021952
-7401.959,2244,54412.258933
2347.3896,1980,54532.708531
1628.6674,2203,54665.447337
2774.2244,1942,54783.126421
-4099.6895,1257,54859.126595
-7091.563,2110,54986.29247
-142.2381,2044,55110.721851
-6592.077,1900,55226.337044
-3679.157,529,55258.222773
-13584.083,2213,55391.685476
4739.4004,2007,55512.861532
-8541.998,1745,55618.247513
-1311.3326,2103,55771.546513
-1918.639,1068,55835.92625
-6880.1245,1104,55903.183535
-2654.3953,1455,55990.913039
-12027.544,1939,56108.835411
-12028.984,2214,56243.340714
-5966.534,1469,56332.197518
-5503.1357,1563,56426.857359
-5631.7,2084,56552.565629
-5261.111,1446,56639.745141
-6373.5435,913,56695.34393
-13398.809,2186,56827.3177
-2214.537,776,56874.618053
-2054.6582,1018,56936.127421
1285.5381,2214,57069.776551
-5408.4556,2114,57197.129498
-2195.415,732,57241.656215
-7630.2227,2133,57370.256941
-13086.715,2462,57520.022408
299.72018,1923,57636.507043
-3901.731,2243,57792.906994
-10677.46,2058,57918.248361
-9102.557,2078,58044.59928
-3404.1125,520,58075.993285
-4398.2363,784,58123.709689
-7370.751,1295,58202.076384
-2376.2773,904,58257.012183
-7858.8706,1827,58367.671465
-12024.804,2328,58509.285625
-12316.884,1794,58617.560987
-10693.813,1765,58724.057444
-5821.7153,1903,58839.01412
-5044.427,1795,58947.255793
-3672.8042,1966,59066.919142
-8936.0625,2319,59206.844884
-8758.834,2178,59339.518798
-12001.049,2512,59491.854955
-15366.763,2201,59625.351612
-5714.9136,764,59671.941588
-1975.9156,651,59711.405618
-5289.931,1763,59840.407388
-2087.7908,376,59863.247574
-4423.542,1505,59954.864514
-5874.602,1167,60026.027569
-11449.318,2170,60158.214846
-11629.12,2303,60297.98052
4278.9487,1978,60417.538042
-6015.1265,1221,60491.369784
593.5506,2004,60613.726711
-324.0925,2040,60738.338765
-3130.3203,2222,60873.906891
-9159.202,1862,60986.825093
-7155.982,1717,61091.068646
-6918.9727,2313,61231.369922
-8373.485,2392,61376.568264
-7612.972,2455,61525.489312
5547.8276,1946,61643.497389
-2059.4917,1195,61715.934367
-6234.958,1850,61828.255515
4430.393,1851,61940.442018
-8414.772,1239,62040.411522
-2760.4053,894,62094.98836
-16959.562,2404,62240.741307
-10991.186,2579,62398.51596
-2494.5146,773,62445.939568
-7519.962,2336,62587.986032
407.84137,2030,62711.273921
-4949.6787,1453,62799.491954
-2573.6226,847,62851.191116
-6213.8706,940,62907.929029
-13205.511,2255,63045.287095
6469.8394,1999,63165.804022
-11119.43,1384,63250.106297
-7513.3003,1365,63332.85066
-7296.16,2046,63457.65445
-2874.649,1193,63530.180369
-5120.4487,2224,63664.667408
-6651.8706,1938,63782.389628
-8267.949,1671,63883.377988
-6471.3447,1066,63947.756021
-2651.3086,1207,64042.484369
-2231.4753,602,64078.790345
-7425.1387,969,64137.789961
-6665.852,2424,64284.02457
-14789.698,2140,64413.226426
-6350.423,2282,64550.954233
-6411.509,1521,64642.836764
-10012.876,2603,64801.278191
-8572.05,2476,64951.425871
-7481.505,1768,65058.608101
-9871.069,1165,65129.629068
-12477.872,1898,65244.768275
-3235.3535,1846,65356.224659
2016.7589,1920,65473.149788
-6722.929,2140,65603.337582
-10213.114,2153,65733.768337
-5759.759,822,65783.387856
-8119.0063,1543,65876.557493
-8974.389,2197,66009.778682
-2942.3584,2211,66144.615064
-5330.403,2152,66298.94472
-2355.6555,595,66335.109919
-8483.886,2062,66459.486792
1507.9774,2232,66594.351071
-6631.5947,1656,66695.22748
-10760.602,1525,66787.29214
-6634.535,2429,66933.78908
-9806.237,2231,67069.106398
-6020.1777,1867,67182.29342
-4071.5703,504,67212.723394
-10360.395,2416,67358.565398
-10040.795,2206,67492.24938
-6656.456,1191,67564.728483
-13853.318,2240,67701.082782
923.51556,1821,67812.012828
-7191.0234,2199,67945.191426
-10756.272,2205,68078.16287
-5922.259,2177,68209.477435
-8781.355,1261,68285.692458
-11042.614,1878,68400.242018
-11204.29,1773,68532.29016
-11036.184,2066,68657.887459
-12257.858,2227,68792.683059
-6533.8477,1668,68893.743802
-8881.626,2092,69020.547447
2679.241,1874,69133.575025
-2028.2227,2209,69267.831442
-16398.432,2328,69408.906397
3632.083,1925,69525.286443
-2572.825,768,69571.9063
-4658.8003,712,69615.244805
-6858.6885,1326,69695.301754
-7755.8564,1565,69789.642105
-6708.3706,2021,69912.073415
-6051.6763,1194,69984.089731
2750.3142,1978,70103.446848
346.2128,1962,70222.31741
-13913.262,2375,70367.167563
-2782.598,1007,70428.310806
-16862.322,2378,70573.368165
-1920.061,402,70621.121656
1975.9749,2297,70759.131445
-5052.1904,1456,70846.757444
-8577.751,1842,70958.467122
-2238.055,691,71000.44651
-3729.664,1719,71105.145894
-5919.152,1343,71186.217102
-6191.2056,1527,71279.103428
-6585.567,2155,71409.653976
-14895.3,2437,71557.832041
-5213.193,2107,71684.634893
-11103.176,1747,71790.427507
-8690.987,2118,71918.312951
-2690.8809,1891,72033.158073
-7229.1025,2347,72174.860509
-6676.315,1444,72267.769805
-9493.084,1254,72349.551521
-5138.612,1432,72442.904545
-2343.456,787,72494.122144
-13879.297,2446,72653.412872
3378.7725,1984,72806.220463
-4775.799,717,72853.915871
-2574.1836,922,72919.273354
-6740.866,1822,73056.318632
-16845.13,2324,73228.899367
-1944.9747,567,73270.227776
-9256.824,2354,73441.634462
-1756.4886,393,73470.217707
-8752.308,2356,73645.26664
-19073.344,2580,73833.418776
-3284.2668,1428,73935.107678
