num_timesteps,scenario_id,scenario_path,episode_reward,episode_length,episode_time_sec,termination_reason,episode_return,target_distance,min_target_distance,average_target_distance,average_heading_error,tracking_ratio,tracking_hold_time,max_tracking_hold_time,tracking_success_steps,within_tracking_region,is_success,out_of_bounds,timeout,head_action_mean_abs,head_action_delta_mean_abs,head_action_max_abs
1851,train_env_028,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_028.json,-741.0674438476562,1851,131.609414,goal_reached,-741.0636803263928,0.47040804104273987,0.47040804104273987,4.255449614269163,0.13413633527306676,0.0,0.0,0.0,0,False,True,False,False,0.4266169119194875,0.4684283207209231,0.9875658840121084
3813,train_env_077,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_077.json,81.38307189941406,1962,266.308714,goal_reached,81.38310500221661,0.6147862279318187,0.5741005613471558,4.193617711268493,0.18390765985209376,0.0,0.0,0.0,0,False,True,False,False,0.43112348999533356,0.4777750634213289,0.9939251490455441
5981,train_env_052,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_052.json,-5876.7041015625,2168,413.723707,persistent_contact_failure,-5876.701021435016,1.3673799496713919,1.0687305222953003,4.007208463794224,0.5094655469564788,0.0,0.0,0.0,0,False,False,False,False,0.412587551529253,0.46438963701521035,0.9907438526806885
7986,train_env_057,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_057.json,-586.441162109375,2005,551.091772,goal_reached,-586.4420005218678,0.5974923306834764,0.5940339072637022,4.099073201709138,0.24011049079048052,0.0,0.0,0.0,0,False,True,False,False,0.4236937155630694,0.45349611063582645,0.9969990535859474
9377,train_env_048,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_048.json,-5061.34228515625,1391,647.073774,persistent_contact_failure,-5061.342456915142,2.240219761735248,2.240219761735248,4.818655475021851,0.16573415651604723,0.0,0.0,0.0,0,False,False,False,False,0.43756192841480873,0.4545566282211428,0.9941509322962548
11550,train_env_020,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_020.json,-9004.111328125,2173,798.233331,persistent_contact_failure,-9004.11069155791,1.742975121048774,1.5639114393723876,4.473893437786207,0.5658483234305783,0.0,0.0,0.0,0,False,False,False,False,0.4388403985413379,0.460902565494169,0.9972439087594364
12922,train_env_098,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_098.json,-9107.455078125,1372,891.736352,persistent_contact_failure,-9107.460693207548,2.8024646704099276,2.8004690249539115,5.270075097161137,0.2558650701174052,0.0,0.0,0.0,0,False,False,False,False,0.4253047059384226,0.456760716498409,0.9869339012699203
14936,train_env_005,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_005.json,1827.0323486328125,2014,1030.337064,goal_reached,1827.0304880822077,0.4516653877456886,0.4516653877456886,4.226918481158406,0.167185791205376,0.0,0.0,0.0,0,False,True,False,False,0.41921236911041576,0.4553476584752312,0.9904555728834102
16340,train_env_047,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_047.json,-9599.8037109375,1404,1126.975567,persistent_contact_failure,-9599.801300290193,4.256739135997231,4.219645196240732,5.684664334157127,0.5516642967164164,0.0,0.0,0.0,0,False,False,False,False,0.4340563581999044,0.44358682692982504,0.989326336924349
18540,train_env_026,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_026.json,-12785.5478515625,2200,1278.238359,persistent_contact_failure,-12785.55068080967,1.3764030338723736,1.0658113725084886,3.9916278738181874,0.48414643611072483,0.0,0.0,0.0,0,False,False,False,False,0.4240354722548199,0.45733876722105293,0.9939864669755446
20544,train_env_079,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_079.json,-15592.4775390625,2004,1416.455935,persistent_contact_failure,-15592.462405156966,2.548786123716734,2.4313899893543964,4.642052422623407,0.560770228857057,0.0,0.0,0.0,0,False,False,False,False,0.4206613361773138,0.46302694129765826,0.9953049759751693
22629,train_env_085,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_085.json,-4373.93798828125,2085,1559.239084,persistent_contact_failure,-4373.943065432402,1.492788691052343,1.1578072649554965,3.808678587614775,0.5538987080835971,0.0,0.0,0.0,0,False,False,False,False,0.42377958667027743,0.44632512911646055,0.9925744821814105
24853,train_env_012,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_012.json,-9698.0751953125,2224,1712.61003,persistent_contact_failure,-9698.0759803833,1.622112911281344,1.3309044320433574,4.114534607781307,0.5714699850168058,0.0,0.0,0.0,0,False,False,False,False,0.42725342552371776,0.46054830053616763,0.9907188472305909
26756,train_env_001,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_001.json,1864.2816162109375,1903,1845.082284,goal_reached,1864.278641933968,0.7658572420794227,0.7415254695035376,4.069110052241568,0.203402349384258,0.0,0.0,0.0,0,False,True,False,False,0.42073789753323204,0.44740836291237773,0.9967111144568102
28630,train_env_076,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_076.json,-10195.505859375,1874,1975.637292,persistent_contact_failure,-10195.49564601011,3.4188800504166905,3.3391362145895345,5.151104106856942,0.6290803272822661,0.0,0.0,0.0,0,False,False,False,False,0.4133218016800446,0.45115893054230843,0.9839768252682033
30707,train_env_081,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_081.json,-4647.59716796875,2077,2120.465624,goal_reached,-4647.592752950088,0.46481128541703143,0.46481128541703143,4.305303723824991,0.23897057828156032,0.0,0.0,0.0,0,False,True,False,False,0.40897053679105705,0.4606002484271743,0.9801756009370293
32958,train_env_050,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_050.json,-4840.9775390625,2251,2275.94807,goal_reached,-4840.982023869372,0.5664078739592376,0.5664078739592376,3.9861262278734317,0.2108946209894679,0.0,0.0,0.0,0,False,True,False,False,0.42858263025285054,0.4583691035036421,0.998544338484039
34615,train_env_073,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_073.json,-5228.4365234375,1657,2391.222354,persistent_contact_failure,-5228.435667899455,2.935409638260413,2.930749136898288,4.993564908745031,0.5854443254831317,0.0,0.0,0.0,0,False,False,False,False,0.42172234829068883,0.47305869113578264,0.995310198786889
35133,train_env_067,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_067.json,-2402.817138671875,518,2428.243422,persistent_contact_failure,-2402.8174896841333,5.9620399797897194,5.9556228777048945,6.888787392256001,0.15922177854503455,0.0,0.0,0.0,0,False,False,False,False,0.41889801308964314,0.44407141957593255,0.9922721965997959
37094,train_env_013,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_013.json,647.7401733398438,1961,2566.950207,goal_reached,647.7360049634564,0.6687057623063726,0.6687057623063726,4.20102781164472,0.18369520563825323,0.0,0.0,0.0,0,False,True,False,False,0.4103676224624103,0.45116963990851494,0.9781324693378644
39092,train_env_078,D:\RCRA\RL_fish-master\scenarios\large_pool_dataset_200\train\json\train_env_078.json,-519.908203125,1998,2733.88718,goal_reached,-519.9079400330497,0.5728128590537808,0.5728128590537808,4.2026733817747886,0.15821429695675784,0.0,0.0,0.0,0,False,True,False,False,0.41722113007457,0.4594529319847657,0.9951441689442471
