run_id,scenario_path,scenario_id,episode_index,num_timesteps,train_loss,episode_reward,episode_length,episode_time_sec,episode_train_time_sec,termination_reason,episode_return,goal_progress_ratio,distance_to_goal_region,visual_obstacle_detected,visual_obstacle_pixel_fraction,visual_obstacle_center_fraction,visual_obstacle_nearest_depth,success,collision,wall_collision,out_of_bounds,timeout
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_024.json,train_env_024,23,38136,nan,-4257.59521484375,1482,491.582079,20.081588100000033,persistent_contact_failure,-4257.594349532505,0.6199536312697627,2.8816462497783295,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_025.json,train_env_025,24,39990,nan,3411.7314453125,1854,516.155185,24.572229299999947,goal_reached,3411.7304820881045,0.970480253844808,0.225139586452495,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_026.json,train_env_026,25,40566,nan,-2168.08740234375,576,523.577031,7.421884900000009,persistent_contact_failure,-2168.087618709241,0.3353161240190765,4.910578840082181,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_027.json,train_env_027,26,42726,nan,-8344.4658203125,2160,551.139733,27.56284679999999,persistent_contact_failure,-8344.468114437132,0.8633431165556036,1.045970519723491,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_028.json,train_env_028,27,43514,nan,-2111.13232421875,788,561.342128,10.202612799999997,persistent_contact_failure,-2111.1322185631866,0.39782402842754794,4.385470086030094,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_029.json,train_env_029,28,45555,nan,-5280.962890625,2041,587.324823,25.98307269999998,persistent_contact_failure,-5280.964289123336,0.9459984978591697,0.40462040168120755,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_030.json,train_env_030,29,47773,nan,-6435.66650390625,2218,616.552801,29.227620300000012,persistent_contact_failure,-6435.6698698850805,0.8997401598851159,0.7641570228059535,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_031.json,train_env_031,30,48694,nan,-5490.71728515625,921,628.617313,12.06449520000001,persistent_contact_failure,-5490.716218807182,0.4621918519570639,4.0004036880966,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_032.json,train_env_032,31,50916,nan,-15138.873046875,2222,656.984894,28.367756800000052,persistent_contact_failure,-15138.855381744583,0.7688034992265267,1.7381663780428778,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_033.json,train_env_033,32,52835,nan,-2885.6630859375,1919,682.273778,25.2890989,persistent_contact_failure,-2885.661604378726,0.9645875103780635,0.25852753273650936,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_034.json,train_env_034,33,54431,nan,-6551.169921875,1596,703.215598,20.94236639999997,persistent_contact_failure,-6551.176488617937,0.7969644272684708,1.5242416706309032,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_035.json,train_env_035,34,56402,nan,-7560.388671875,1971,732.51308,29.29682779999996,persistent_contact_failure,-7560.384493048508,0.7470908930392737,1.8820462985278603,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_036.json,train_env_036,35,58240,nan,-10024.8291015625,1838,757.73682,25.223097900000084,persistent_contact_failure,-10024.826804384697,0.7470217716936584,1.9208810599444692,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_037.json,train_env_037,36,60437,nan,-8673.916015625,2197,787.345786,29.609257999999954,persistent_contact_failure,-8673.920032210695,0.814071573305434,1.4174777949535775,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_038.json,train_env_038,37,61782,nan,-4560.02880859375,1345,807.358349,20.01317000000006,persistent_contact_failure,-4560.027663475569,0.5541829464718149,3.3162453134916827,False,0.0,0.0,2.5,False,False,True,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_039.json,train_env_039,38,62442,nan,-2030.7469482421875,660,816.956632,9.59751039999992,persistent_contact_failure,-2030.747136553781,0.34827375961480267,4.949687025054303,False,0.0,0.0,2.5,False,True,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_040.json,train_env_040,39,64248,nan,-157.549560546875,1806,840.688485,23.732259500000055,goal_reached,-157.55310187378026,0.9642451733996747,0.2618365380600301,False,0.0,0.0,2.5,True,False,False,False,False
20260418_000349_p16560,scenarios/large_pool_dataset_200/train/json/train_env_041.json,train_env_041,40,66246,nan,-7560.05078125,1998,866.976604,26.288224199999945,persistent_contact_failure,-7560.049743083969,0.7654664207715107,1.729514788963702,False,0.0,0.0,2.5,False,False,True,False,False
