run_id,update_index,num_timesteps,episodes_in_cycle,episodes_completed_total,success_count,success_rate,mean_episode_reward,mean_episode_length,cycle_train_time_sec,model_path,policy_weights_path
20260417_110714_p46344,1,101153,100,100,1,0.01,-3507.3122106933592,1011.53,1256.3842104999999,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000001.zip,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000001_policy.pth
20260417_110714_p46344,2,204310,100,200,0,0.0,-3618.2850244140627,1031.57,1280.8521500000002,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000002.zip,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000002_policy.pth
20260417_110714_p46344,3,305050,100,300,0,0.0,-3562.8591290283202,1007.4,1210.1616053999996,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000003.zip,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000003_policy.pth
20260417_110714_p46344,4,407352,100,400,0,0.0,-3600.7358990478515,1023.02,1176.4708279000001,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000004.zip,runs/td3_fish_baseline/scenario_cycle/checkpoints/td3_fish_baseline_update_000004_policy.pth
